Style No,SKU,Product Name,GTIN,Color,Category,Composition,Country of Origin,Season,Notes
ITX-LIVE-01,P01103203,"Turtleneck Wool and Cashmere Top",560199920001,,Knitwear,"70% Wool, 30% Cashmere",PT,FW26,"Editor pick clothing · Róhe"
ITX-LIVE-02,7FAM-WOOL-POLO-SLATE,"Wool Long Sleeve Polo Sweater in Slate",560199920002,,Knitwear,"80% Wool, 10% Cashmere, 10% Silk",PT,FW26,"Editor pick clothing · 7 For All Mankind"
ITX-LIVE-03,ALC-FREYA-ALPACA,"Freya Brushed Alpaca Sweater",560199920003,,Knitwear,"100% Alpaca",PT,FW26,"Editor pick clothing · A.L.C."
ITX-LIVE-04,ST-OPEN-STITCH,"Open Stitch Sweater",560199920004,,Knitwear,"100% Cotton",PT,FW26,"Editor pick clothing · Single Thread"
ITX-LIVE-05,ROKH-WOOL-BLAZER,"Structured Wool Blazer",560199920005,,Outerwear,"86% Wool, 14% Silk",PT,FW26,"Editor pick clothing · Rokh"
ITX-LIVE-06,REF-OLINA-SILK,"Olina Silk Pants",560199920006,,Trousers,"100% Silk",PT,FW26,"Editor pick clothing · Reformation"
ITX-LIVE-07,P01135201,"Cotton Poplin Shirt",560199920007,,Shirt,"97% Cotton, 3% Elastane",PT,FW26,"Editor pick clothing · Ganni"
ITX-LIVE-08,P01136600,"Belted Leather Coat",560199920008,,Outerwear,"100% Lamb Leather",PT,FW26,"Editor pick clothing · Toteme"
ITX-LIVE-09,P00783396,"Denim Midi Dress",560199920009,,Dress,"100% Cotton",PT,FW26,"Editor pick clothing · Magda Butrym"
ITX-LIVE-10,P01184019,"Tailored Linen Trouser",560199920010,,Trousers,"100% Linen",PT,FW26,"Editor pick clothing · Citizens of Humanity"
